Date,Course,Tee Time,Group Size,Weather,Players,Game,Duration (minutes),Cart?,Scramble Partner,Cart Partner,Tee Box,Holes Played,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules Taken,Tees Broken,Putts,GIR%,FIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Oofs,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2024-04-19,Legends Golf Resort | Parkland,14:00,4,Windy,"Jiwei, Jed, Kevin",2 Man Scramble: Kevin,321,Yes,Kevin,,White,18,79,42,37,4,0,0,,0,33,56,64,0,0,12,2,9,5,2,0,0,0,3,15,0,,Lime Green,Emerald Green,Green,White/Green,Lime Green
2024-11-09,Mill Pond Golf Course,12:30,4,Sunny,"Kevin, Jed, Jordan",Wolf,260,Yes,,Jed,White,18,93,47,46,0,3,3,,0,37,28,38,0,0,4,1,4,4,8,0,1,0,4,9,5,Lime Green,Lime Green,Verdigris,Green,White/Green,Dark Green
2024-11-10,Montauk Downs State Park Golf Course,10:00,4,Cloudy,"Jordan, Deezy",Regular,287,No,,,White,18,104,54,50,2,0,1,,0,41,6,57,0,0,1,0,0,8,6,4,0,0,0,14,4,Lime Green,Jungle Green,Emerald Green,Lime Green,White/Green,Black
2024-07-20,Northport,10:00,5,Sunny,"Jed, Jiwei, Deezy, Patrick",Regular,136,No,,,Blue,9,40,,,2,0,1,,0,15,33,43,0,0,3,1,3,4,2,0,0,0,3,6,0,,Jungle Green,Seafoam Green,Dark Blue,White/Green,Jungle Green
2024-07-04,RiverPines Golf Course,12:00,2,Cloudy,Dad,Regular,98,No,,,Blue,9,31,,,1,0,0,,0,17,56,FALSE,0,0,5,0,5,4,0,0,0,0,1,8,0,,Lime Green,Green,Orange,Black/Green,Green
2024-12-04,RiverPines Golf Course,11:00,4,Cloudy,"Patrick, Dave, John",Regular/Scramble,261,Yes,,None,White,18,88,47,41,4,2,2,,0,32,39,57,0,0,7,0,8,3,6,1,0,0,4,14,0,Green,Lime Green,Verdigris,Lime Green,White/Green,Green
2024-12-17,RiverPines Golf Course,08:40,3,Sunny,Randoms,Regular,192,Yes,,None,Blue,18,88,46,42,1,0,3,3,0,33,22,57,0,0,4,0,5,8,5,0,0,0,3,15,0,Olive Green,Sky Blue,Verdigris,Green,White/Green,
2024-12-31,RiverPines Golf Course,09:30,1,Sunny,None,Regular,54,No,,,White,9,29,,,0,0,0,0,0,17,67,0,0,0,7,0,7,2,0,0,0,0,1,8,0,,Celadon,Cadmium,Olive Green,White/Green,
2024-08-31,Rock Hill Golf & Country Club,10:00,4,Sunny,"Jed, Kevin",Regular,270,Yes,,,Blue,18,93,46,47,1,2,3,,0,37,11,71,0,0,2,0,3,9,5,1,0,0,3,11,4,,Lime Green,Green,Green,White/Green,
2024-11-09,Rolling Oaks Golf Course,07:30,6,Sunny,"Kevin, Jed, Jordan, Deezy, Jiwei",3 Man Scramble,220,Yes,"Jed, Jordan",None,Blue,17,65,26,29,0,0,2,,0,35,,,0,0,4,3,9,4,1,0,0,0,3,13,1,Lime Green,Lime Green,Verdigris,Green,White/Green,Dark Green
2024-04-13,Skyview Golf Club,08:20,4,Rain,"Jiwei, Deezy, Kevin",Regular,268,Yes,,,White,18,102,54,48,0,1,2,,2,37,11,46,0,0,0,0,2,8,2,5,1,0,4,9,5,,Lime Green,Verdigris,Green,White/Green,Lime Green
2024-04-06,Skyway,13:40,3,Cloudy,"Jiwei, Jed",Regular,140,No,,,Gold,9,50,,,0,1,4,,0,19,11,50,0,0,1,1,0,2,6,1,0,0,2,4,3,Forest Green,Seafoam Green,Moss Green,Green,White/Green,
2024-04-12,Skyway,15:00,4,Cloudy,"Kevin, Rando, Rando",Regular,143,No,,,Gold,9,51,,,4,0,2,,0,19,22,100,0,0,2,1,1,1,5,0,1,0,1,6,2,,Lime Green,Brown,Green,White/Green,Jungle Green
2024-04-28,Skyway,10:50,3,Cloudy,"Jiwei, Jed",Regular,158,No,,,Gold,9,52,,,0,1,2,,0,20,11,33,0,0,1,0,1,2,5,0,1,0,2,4,3,,Lime Green,Verdigris,Green,White/Green,Lime Green
2024-06-12,Skyway,07:20,2,Cloudy,Kevin,Regular,128,No,,,Gold,9,56,,,2,1,3,,1,30,0,67,0,0,0,0,0,3,2,3,1,0,1,5,3,,Moss Green,Olive Green,Green,White/Green,Dark Blue/Forest Green
2024-06-17,Skyway,07:50,4,Sunny,Randoms,Regular,140,No,,,Gold,9,50,,,2,0,2,,0,19,11,67,0,0,1,0,1,3,4,1,0,0,1,6,2,,Lime Green,Khakis,Brown,White/Green,Green
2024-06-22,Skyway,11:00,4,Cloudy,"Deezy, Jiwei, Paul, Jed",Regular,265,No,,,Gold,9,45,,,0,0,2,,1,17,33,33,0,0,3,0,3,3,3,0,0,0,2,6,1,,Lime Green,Blue,Green,White/Green,Dark Blue/Forest Green
2024-07-13,Skyway,02:30,3,Sunny,"Jed, Jiwei, Deezy",Regular,156,Yes,,,Gold,9,49,,,1,0,1,,0,17,22,50,0,0,2,0,2,3,3,0,1,0,2,6,1,,Pistachio,Green,Black,White/Green,Dark Blue/Forest Green
2024-07-17,Skyway,07:10,3,Rain,Randoms,Regular,108,No,,,Gold,9,48,,,1,0,1,,0,17,11,67,0,0,1,0,1,5,2,1,0,0,1,8,0,,Neon Green,Black,Black,White/Green,Light Green
2024-08-25,Skyway,10:40,4,Sunny,"Jiwei, Scialabba, Jackson",Regular,138,Yes,,Jiwei,Gold,9,50,,,1,0,1,,0,18,0,33,0,0,0,0,1,3,4,1,0,0,2,5,2,,Celadon,Blue,Green,White/Green,Dark Blue/Forest Green
2024-08-25,Skyway,13:40,4,Sunny,"Jiwei, Scialabba, Jackson",Power-Up,140,Yes,,Jiwei,White,9,49,,,,,,,,,,,,,,,,,,,,0,,,,,Celadon,Blue,Green,White/Green,Dark Blue/Forest Green
2024-09-08,Skyway,11:00,3,Windy,"Jiwei, Kevin",Regular,128,No,,,Gold,9,49,,,0,1,2,,0,15,11,83,0,0,1,0,1,5,1,2,0,0,3,6,0,,Neon Green,Verdigris,White,White/Green,Lime Green
2024-10-12,Skyway,10:00,4,Windy,"Jed, Nik, Rando",Regular,138,Yes,,None,Gold,9,53,,,0,0,1,,0,19,0,83,0,0,0,0,0,3,4,2,0,0,2,4,3,,Lime Green,Khakis,Lime Green,White/Green,Gren
