Shirt ID,Shirt Color Primary,Shirt Color Secondary,Shirt Type,Shirt Brand,Shirt Design,Shirt Color Short
127,White,Red,Long Sleeve,Harvard,Harvard,White
128,Kelly Green,Yellow,T-Shirt,Nike,,Green
129,Lime Green,Black,Tank Top,Nike,Swoosh,Green
130,White,Dark Green,Polo,Kohl's,Golf Clubs,White
131,Light Green,,Polo,Kohl's,Desert,Green
132,Jungle Green,White,Polo,Kohl's,Tropical Flowers,Green
133,Dark Blue,Jungle Green,Polo,,Tropical Flowers,Blue
134,Dark Green,Black,Button-Up Shirt,American Eagle,Palm Trees,Green
135,Kelly Green,Red,T-Shirt,JCPenny's,Yoshi,Green
136,Dark Green,Red,Athletic Shirt,Adidas,Soccer Jersey,Green
137,Royal Blue,Gold,Athletic Shirt,France,Soccer Jersey,Blue
138,Lime Green,White,T-Shirt,Polo,Tropical Flowers,Green
139,Mint Green,,T-Shirt,H&M,,Green
140,Forest Green,White,T-Shirt,Uniqlo,Mario Kart World,Green
141,Dark Green,,Polo,H&M,Knitted,Green
